sku_id,category,base_price,brand,product_name
SKU_000120,Books,937.46,Bradley-Harris,Front-line zero tolerance function
SKU_000121,Toys,637.36,Spencer Ltd,Ergonomic radical hub
SKU_000122,Books,754.02,"Turner, Cummings and Mcgrath",Diverse high-level emulation
SKU_000123,Toys,336.76,Gray Inc,Sharable modular neural-net
SKU_000124,Sports,643.95,"Martinez, Andrews and Cook",Realigned solution-oriented hierarchy
SKU_000125,Fashion,18.87,"Serrano, Miller and Gonzalez",Synergistic motivating knowledgebase
SKU_000126,Books,770.51,Sherman-Mcintosh,Cross-platform maximized toolset
SKU_000127,Fashion,480.3,"Buckley, Nguyen and Taylor",Secured homogeneous forecast
SKU_000128,Toys,465.36,Holder Inc,Sharable attitude-oriented focus group
SKU_000129,Electronics,271.69,Marshall-Stevenson,Reverse-engineered background extranet
SKU_000130,Home & Kitchen,314.42,Martinez-Munoz,Function-based 3rdgeneration architecture
SKU_000131,Automotive,129.72,Howell-Williams,Progressive tertiary artificial intelligence
SKU_000132,Fashion,159.15,Houston-Roberts,Enterprise-wide explicit monitoring
SKU_000133,Beauty,135.14,Allen-Bailey,Automated foreground moderator
SKU_000134,Automotive,689.19,Williams Group,Function-based encompassing groupware
SKU_000135,Toys,358.74,"Kidd, Hughes and Johnson",Future-proofed explicit implementation
SKU_000136,Automotive,460.41,Fuller-Moore,Configurable 4thgeneration customer loyalty
SKU_000137,Fashion,378.59,"Wilson, Smith and King",Triple-buffered human-resource open system
SKU_000138,Fashion,805.88,Lawson-Allen,Digitized coherent Local Area Network
SKU_000139,Books,952.07,Rodriguez-Gonzalez,Face-to-face solution-oriented monitoring
SKU_000140,Books,435.87,Hawkins-Allen,Reduced object-oriented array
SKU_000141,Electronics,317.87,"Thomas, Mitchell and Garza",Centralized impactful alliance
SKU_000142,Sports,437.45,Smith and Sons,User-centric transitional interface
SKU_000143,Automotive,543.22,Harris and Sons,Visionary analyzing workforce
SKU_000144,Electronics,566.62,Reyes PLC,Distributed global process improvement
SKU_000145,Automotive,10.54,Hardy-Cline,Digitized hybrid utilization
SKU_000146,Fashion,262.74,"Silva, Snyder and Thompson",Customer-focused radical neural-net
SKU_000147,Automotive,425.98,Davis Group,Enhanced multi-tasking flexibility
SKU_000148,Home & Kitchen,259.72,"Myers, Miller and Pierce",Compatible fresh-thinking interface
SKU_000149,Beauty,985.38,"Thomas, Jackson and Peterson",Vision-oriented incremental groupware
SKU_000150,Books,292.73,Mack-Harris,Open-source holistic ability
SKU_000151,Home & Kitchen,708.28,"Martin, Howard and Luna",Ameliorated 3rdgeneration protocol
SKU_000152,Fashion,187.43,Williams-Hill,Streamlined maximized support
SKU_000153,Electronics,945.37,Davidson-Adkins,Visionary impactful monitoring
SKU_000154,Automotive,681.72,"Schultz, Wiley and Jefferson",Cloned empowering throughput
SKU_000155,Fashion,858.58,Green Ltd,Decentralized global time-frame
SKU_000156,Sports,603.58,Martinez and Sons,Compatible next generation Internet solution
SKU_000157,Automotive,594.36,Anderson Group,Proactive static adapter
SKU_000158,Beauty,981.62,Hernandez-Burns,Front-line multimedia throughput
SKU_000159,Beauty,93.89,"White, Peterson and Jackson",Decentralized intangible structure
SKU_000160,Books,936.17,"Flores, Hall and Mccoy",Inverse didactic hardware
SKU_000161,Sports,352.15,"Simmons, Torres and Lee",Switchable didactic application
SKU_000162,Fashion,161.37,Robinson Inc,Synergized multi-state application
SKU_000163,Home & Kitchen,51.52,Warren LLC,Streamlined analyzing framework
SKU_000164,Home & Kitchen,937.91,Johnson PLC,Up-sized intangible superstructure
SKU_000165,Beauty,429.7,Mccormick-Beard,Secured multi-tasking alliance
SKU_000166,Home & Kitchen,858.81,"Winters, Campbell and Gardner",Universal cohesive neural-net
SKU_000167,Automotive,50.79,Bullock PLC,Fully-configurable leadingedge info-mediaries
SKU_000168,Electronics,430.83,Horne-Sparks,De-engineered homogeneous forecast
SKU_000169,Sports,563.54,"Garcia, Pierce and Chen",De-engineered attitude-oriented solution
SKU_000170,Fashion,295.86,Brown and Sons,Assimilated global circuit
SKU_000171,Electronics,84.97,Figueroa-Prince,Multi-layered solution-oriented frame
SKU_000172,Toys,874.11,"Norton, Jones and Jacobs",Enterprise-wide needs-based attitude
SKU_000173,Electronics,603.63,"Hernandez, Silva and Anderson",Reduced radical customer loyalty
SKU_000174,Automotive,119.65,Rogers-Shaffer,Fundamental attitude-oriented help-desk
SKU_000175,Automotive,535.44,Black-Mcintyre,Team-oriented secondary moratorium
SKU_000176,Sports,620.71,"Rodriguez, Parks and Frazier",Virtual attitude-oriented Internet solution
SKU_000177,Sports,772.36,"Tucker, Campbell and Larson",Reduced 5thgeneration product
SKU_000178,Books,266.13,"Carpenter, Mendoza and Jackson",Robust impactful emulation
SKU_000179,Toys,705.71,Austin-Coleman,Organic non-volatile adapter
SKU_000180,Automotive,443.71,"Weiss, Butler and Morton",Mandatory stable Graphic Interface
SKU_000181,Home & Kitchen,805.73,"Reynolds, Smith and Reeves",Triple-buffered intangible archive
SKU_000182,Electronics,992.9,Wu-Moore,De-engineered system-worthy utilization
SKU_000183,Home & Kitchen,994.88,Olson-Cruz,Intuitive 6thgeneration installation
SKU_000184,Toys,556.47,Parker-Carter,Decentralized demand-driven projection
SKU_000185,Home & Kitchen,868.94,Reed LLC,Face-to-face multi-tasking secured line
SKU_000186,Automotive,898.59,Ramos LLC,Innovative bi-directional knowledge user
SKU_000187,Automotive,526.32,"Harris, Hodge and Brown",Phased value-added hierarchy
SKU_000188,Fashion,170.9,"Archer, King and Hansen",Advanced real-time intranet
SKU_000189,Toys,462.46,"Campbell, Shaw and Rodriguez",Fundamental dedicated portal
SKU_000190,Fashion,553.96,"Scott, Smith and Foster",Mandatory holistic functionalities
SKU_000191,Toys,487.62,Kennedy-Sullivan,Synergized eco-centric application
SKU_000192,Sports,167.46,Berry-White,Upgradable full-range standardization
SKU_000193,Fashion,15.15,Chambers Group,Pre-emptive value-added middleware
SKU_000194,Electronics,812.59,Phelps LLC,Visionary national core
SKU_000195,Home & Kitchen,159.15,Knight-Ray,Public-key human-resource projection
SKU_000196,Home & Kitchen,940.18,"Mills, Smith and Johnson",Re-engineered object-oriented extranet
SKU_000197,Sports,432.07,Patterson LLC,Vision-oriented multimedia open architecture
SKU_000198,Home & Kitchen,82.68,Mann Group,Re-engineered multi-tasking implementation
SKU_000199,Automotive,786.44,Collier LLC,Multi-tiered zero-defect infrastructure
SKU_000200,Fashion,495.7,"Werner, Perez and Olson",Diverse homogeneous complexity
SKU_000201,Electronics,142.14,"Phillips, Fitzgerald and Young",Streamlined attitude-oriented structure
SKU_000202,Fashion,724.72,Martinez Group,Enhanced zero tolerance solution
SKU_000203,Home & Kitchen,731.28,Hunt LLC,Virtual user-facing budgetary management
SKU_000204,Sports,516.14,"Harper, Wilson and Barrera",Optional optimal framework
SKU_000205,Home & Kitchen,248.12,Harris Inc,Open-source full-range product
SKU_000206,Home & Kitchen,739.89,Baker Ltd,Implemented holistic extranet
SKU_000207,Electronics,716.33,Li LLC,Self-enabling context-sensitive open system
SKU_000208,Beauty,291.18,Fowler-Rhodes,Reactive 3rdgeneration productivity
SKU_000209,Beauty,330.01,Gonzalez-Russell,Inverse interactive workforce
SKU_000210,Home & Kitchen,226.07,"Holmes, Day and Horton",Object-based executive software
SKU_000211,Books,198.52,Allen-Allen,Profit-focused web-enabled framework
SKU_000212,Electronics,593.08,Spencer Ltd,Re-contextualized motivating adapter
SKU_000213,Electronics,174.81,White Inc,Right-sized composite customer loyalty
SKU_000214,Toys,655.53,Wood-Perez,Organized 24hour Graphic Interface
SKU_000215,Books,954.35,"Barton, Daniel and Powell",Persistent composite functionalities
SKU_000216,Electronics,852.0,Morrison-Conley,Ergonomic hybrid help-desk
SKU_000217,Sports,909.09,Hernandez PLC,Cloned methodical paradigm
SKU_000218,Electronics,926.69,"Garcia, Wyatt and Perry",Distributed asynchronous Graphic Interface
SKU_000219,Automotive,637.86,Santos PLC,Pre-emptive dedicated budgetary management
SKU_000220,Fashion,980.08,Adams Group,Streamlined holistic frame
SKU_000221,Fashion,711.87,"Alvarado, Willis and Thompson",Monitored 5thgeneration ability
SKU_000222,Books,91.31,Glover-Woodard,Profound multi-state standardization
SKU_000223,Sports,946.44,"Schwartz, Goodman and Chapman",Multi-tiered foreground toolset
SKU_000224,Sports,168.55,"Warner, Norton and Pacheco",Team-oriented modular product
SKU_000225,Toys,484.51,"Moore, Weaver and Chan",Synchronized systematic contingency
SKU_000226,Fashion,682.73,Vargas Inc,Profound asymmetric customer loyalty
SKU_000227,Books,61.54,"Becker, Adkins and Ortega",Managed even-keeled complexity
SKU_000228,Books,402.01,"Miller, Long and Cooper",Configurable object-oriented open system
SKU_000229,Automotive,698.79,"Hughes, Thomas and Cunningham",Team-oriented incremental initiative
SKU_000230,Toys,993.53,"Thompson, Sanders and Jackson",Multi-lateral interactive policy
SKU_000231,Beauty,806.99,Carter-Roy,Networked executive pricing structure
SKU_000232,Sports,759.92,"Soto, Norris and Carter",Enhanced solution-oriented solution
SKU_000233,Books,657.7,Shaw-Holland,Quality-focused executive emulation
SKU_000234,Home & Kitchen,761.44,"Hayes, Jensen and Lewis",Team-oriented homogeneous project
SKU_000235,Home & Kitchen,881.92,"Vasquez, Novak and Johnson",Phased fault-tolerant moratorium
SKU_000236,Fashion,894.96,"Adams, Morales and Ward",Public-key empowering parallelism
SKU_000237,Toys,475.83,Sanchez-Bauer,Reverse-engineered zero administration Graphic Interface
SKU_000238,Fashion,529.9,Chung Inc,Decentralized actuating product
SKU_000239,Books,103.06,Campbell-Harris,Object-based web-enabled framework
SKU_000240,Automotive,823.77,Austin Group,Progressive value-added artificial intelligence
SKU_000241,Toys,524.01,Chang-Fisher,User-friendly zero tolerance knowledge user
SKU_000242,Fashion,246.04,Keller-Harper,Expanded dedicated approach
SKU_000243,Books,693.62,"Hudson, Grant and Koch",Profit-focused zero-defect migration
SKU_000244,Electronics,23.92,Flores-Walker,Compatible foreground extranet
SKU_000245,Sports,330.37,Hill-Chavez,Vision-oriented content-based attitude
SKU_000246,Electronics,557.77,Nelson PLC,Sharable 4thgeneration application
SKU_000247,Toys,585.65,"Newton, Wong and Bullock",Multi-lateral next generation encoding
SKU_000248,Beauty,961.83,Mcgee-Ballard,Down-sized tertiary customer loyalty
SKU_000249,Home & Kitchen,695.54,"Wolf, Hoover and Townsend",Synergized didactic functionalities
SKU_000250,Toys,898.97,Salinas Inc,Realigned interactive initiative
SKU_000251,Toys,614.85,Bass-Smith,Enterprise-wide coherent database
SKU_000252,Sports,126.8,Poole PLC,Multi-layered coherent customer loyalty
SKU_000253,Fashion,332.42,"Anderson, Rodgers and Cooper",Monitored demand-driven challenge
SKU_000254,Electronics,205.19,Howard-Schultz,Automated bifurcated middleware
SKU_000255,Home & Kitchen,317.4,"Kelly, Tucker and Reid",Secured eco-centric concept
SKU_000256,Fashion,880.94,"Dougherty, Coleman and Horton",Persevering bottom-line service-desk
SKU_000257,Beauty,931.6,Fisher-Cohen,Secured modular encryption
SKU_000258,Toys,130.21,"Allen, Figueroa and Yates",Customer-focused stable pricing structure
SKU_000259,Fashion,256.84,"Carter, Hill and Anderson",Horizontal systemic workforce
SKU_000260,Beauty,837.45,"Russell, Mora and Adkins",Grass-roots client-driven website
SKU_000261,Automotive,927.28,"Peck, Holder and Bradshaw",Team-oriented responsive core
SKU_000262,Sports,71.68,"Walker, Larsen and Gonzalez",Visionary regional alliance
SKU_000263,Books,977.18,"Elliott, Jackson and Bell",Exclusive transitional contingency
SKU_000264,Home & Kitchen,702.91,"Alexander, Randolph and Lopez",Exclusive bottom-line capability
SKU_000265,Books,835.05,Hill-Wong,Re-engineered intangible portal
SKU_000266,Fashion,925.89,"Patton, Hanson and Dawson",Enterprise-wide transitional access
SKU_000267,Beauty,396.98,Fitzgerald-Miller,Realigned global moratorium
SKU_000268,Beauty,678.19,Smith PLC,Pre-emptive real-time structure
SKU_000269,Home & Kitchen,875.62,"Davis, Gibbs and Sanchez",Centralized explicit parallelism
SKU_000270,Home & Kitchen,390.22,Shepherd-Miranda,Ameliorated 3rdgeneration challenge
SKU_000271,Toys,945.94,Leonard-Clark,Customizable cohesive implementation
SKU_000272,Electronics,756.55,"Taylor, Hart and Martinez",Profit-focused heuristic benchmark
SKU_000273,Electronics,15.21,"Delgado, Cantu and Dennis",Cross-platform multi-tasking website
SKU_000274,Beauty,498.28,"Nelson, Lopez and Howard",Monitored analyzing parallelism
SKU_000275,Beauty,653.7,Warner-Davis,Function-based tangible hardware
SKU_000276,Toys,294.41,Brown-Myers,Persistent interactive neural-net
SKU_000277,Automotive,528.5,Chambers-Flores,Ameliorated demand-driven Local Area Network
SKU_000278,Toys,996.77,Wagner Inc,Reverse-engineered uniform matrix
SKU_000279,Sports,25.64,"Vasquez, Butler and Mitchell",Persistent leadingedge project
SKU_000280,Home & Kitchen,398.34,"Hansen, Medina and Green",Front-line next generation superstructure
SKU_000281,Home & Kitchen,992.94,James-Garza,Progressive executive budgetary management
SKU_000282,Books,746.27,Novak and Sons,Enhanced demand-driven hierarchy
SKU_000283,Toys,184.48,Simpson-Parker,Reverse-engineered stable customer loyalty
SKU_000284,Books,543.02,Mitchell-Norris,Synergistic client-server conglomeration
SKU_000285,Electronics,125.39,Owens-Rivera,Right-sized attitude-oriented array
SKU_000286,Electronics,471.97,"Guerrero, Martin and Santos",Virtual empowering hub
SKU_000287,Fashion,784.21,Gomez LLC,Streamlined attitude-oriented toolset
SKU_000288,Toys,129.81,Perez-Proctor,Universal radical firmware
SKU_000289,Automotive,282.65,Cuevas-Smith,Persistent directional access
SKU_000290,Automotive,526.0,"Hatfield, Anderson and Thompson",Cloned motivating website
SKU_000291,Toys,988.58,"Burke, Frederick and Norton",Enhanced background open architecture
SKU_000292,Books,440.05,Hernandez-Mcbride,Pre-emptive logistical encryption
SKU_000293,Books,476.02,Davis-Davis,Up-sized systemic superstructure
SKU_000294,Toys,537.2,Mueller-Burgess,Networked value-added superstructure
SKU_000295,Fashion,369.83,Garcia PLC,Balanced clear-thinking flexibility
SKU_000296,Home & Kitchen,467.98,Patterson Inc,Multi-tiered encompassing Local Area Network
SKU_000297,Home & Kitchen,367.6,"Johns, Ponce and Mitchell",Extended heuristic synergy
SKU_000298,Books,663.46,Gray PLC,Cloned executive product
SKU_000299,Fashion,951.52,Mason-Hughes,Reverse-engineered fresh-thinking knowledge user
SKU_000300,Electronics,672.24,Obrien Inc,Adaptive zero-defect analyzer
SKU_000301,Fashion,182.08,Marshall Ltd,Triple-buffered even-keeled encoding
SKU_000302,Beauty,639.36,"Rivera, Green and Bishop",Face-to-face mobile functionalities
SKU_000303,Fashion,873.28,Johnson and Sons,Optimized high-level website
SKU_000304,Home & Kitchen,711.02,"Valdez, Lewis and Johnson",Ameliorated object-oriented frame
SKU_000305,Books,798.02,Miller-Bennett,Robust executive benchmark
SKU_000306,Electronics,910.68,"Nguyen, Perry and Lloyd",Organized zero tolerance toolset
SKU_000307,Books,11.17,"Wells, Stark and Bender",Realigned discrete core
SKU_000308,Sports,509.78,"Black, Henderson and Craig",Devolved fresh-thinking software
SKU_000309,Electronics,440.05,Bishop Inc,Cross-group grid-enabled open system
SKU_000310,Fashion,180.23,"Grant, Vasquez and Martinez",Realigned clear-thinking website
SKU_000311,Home & Kitchen,370.33,Harris Inc,Diverse responsive infrastructure
SKU_000312,Beauty,916.4,Mitchell-Sexton,Progressive upward-trending functionalities
SKU_000313,Beauty,900.5,Raymond Ltd,Synergistic non-volatile protocol
SKU_000314,Home & Kitchen,43.96,"Gallagher, Gutierrez and Randolph",Synergized local matrices
SKU_000315,Sports,232.56,Newman Inc,Public-key systemic circuit
SKU_000316,Automotive,592.45,Wilson Group,Polarized system-worthy product
SKU_000317,Beauty,495.28,Brooks-Obrien,Streamlined contextually-based adapter
SKU_000318,Automotive,728.07,Soto and Sons,Public-key disintermediate circuit
SKU_000319,Home & Kitchen,552.63,Brooks Ltd,Team-oriented bandwidth-monitored policy
SKU_000320,Electronics,223.18,"Leblanc, Garcia and Page",Vision-oriented disintermediate ability
SKU_000321,Home & Kitchen,290.86,Fox-Lawrence,Customizable 5thgeneration capacity
SKU_000322,Electronics,253.86,"Gray, Webb and Johnson",Managed intermediate concept
SKU_000323,Toys,323.75,"Little, Smith and Moore",Customizable motivating hub
SKU_000324,Automotive,580.27,"Carpenter, Rodriguez and Williamson",Organic 3rdgeneration focus group
SKU_000325,Home & Kitchen,348.97,Harvey-Alvarez,De-engineered intangible Graphical User Interface
SKU_000326,Toys,274.66,"Yates, Jones and Peterson",Open-architected empowering application
SKU_000327,Sports,750.55,Walker-Anthony,Reverse-engineered systemic firmware
SKU_000328,Home & Kitchen,63.23,Erickson and Sons,Right-sized asynchronous hierarchy
SKU_000329,Books,872.26,"Weaver, Rice and Perez",Visionary directional support
SKU_000330,Sports,143.15,Johnson and Sons,Mandatory upward-trending flexibility
SKU_000331,Home & Kitchen,102.66,Jackson LLC,Inverse secondary ability
SKU_000332,Sports,171.99,Scott-Watkins,Cross-group uniform secured line
SKU_000333,Home & Kitchen,696.34,Beck Ltd,Ergonomic didactic algorithm
SKU_000334,Automotive,557.18,Mitchell Ltd,Quality-focused 24hour solution
SKU_000335,Beauty,361.3,"Watts, Lopez and Hull",De-engineered bifurcated moderator
SKU_000336,Automotive,684.03,"Mendoza, Carter and Young",Up-sized bi-directional encryption
SKU_000337,Toys,480.43,Harris Ltd,Monitored object-oriented service-desk
SKU_000338,Automotive,917.2,"Jones, Pratt and Baker",Cross-platform fault-tolerant installation
SKU_000339,Toys,832.98,"Alvarez, Boyd and Murphy",Adaptive solution-oriented emulation
SKU_000340,Home & Kitchen,398.56,Calderon LLC,Horizontal static moderator
SKU_000341,Toys,494.98,Schmidt-Garcia,Synergized zero administration policy
SKU_000342,Home & Kitchen,782.15,Ray-Montes,Seamless global encryption
SKU_000343,Books,344.92,Norton and Sons,Self-enabling asymmetric utilization
SKU_000344,Automotive,440.89,Adams Inc,Realigned content-based utilization
SKU_000345,Automotive,285.04,"Maldonado, Morales and Sanchez",Open-source heuristic info-mediaries
SKU_000346,Sports,950.54,"Lucas, Payne and Fisher",Assimilated multi-tasking hierarchy
SKU_000347,Fashion,40.58,Frank-Mcintosh,Focused maximized framework
